Variable,Address,PLC Type,QML Type,C Type,Group,Comment
Motor_Start,%I0.0,BOOL,bool,bool,数字量输入,电机启动信号
Motor_Stop,%I0.1,BOOL,bool,bool,数字量输入,电机停止信号
Motor_Running,%Q0.0,BOOL,bool,bool,数字量输出,电机运行状态
Motor_Fault,%Q0.1,BOOL,bool,bool,数字量输出,电机故障报警
Motor_Speed,%MW100,INT,int,int16_t,MW,电机当前转速 RPM
Motor_Torque,%MW102,INT,int,int16_t,MW,电机扭矩百分比
Motor_Temperature,%MD104,REAL,real,float,MD,电机温度 °C
Motor_Current,%MD108,REAL,real,float,MD,电机电流 A
Pump_Start,%I1.0,BOOL,bool,bool,数字量输入,水泵启动
Pump_Running,%Q1.0,BOOL,bool,bool,数字量输出,水泵运行状态
Pump_Pressure,%MD200,REAL,real,float,MD,水泵压力 Bar
Pump_FlowRate,%MD204,REAL,real,float,MD,水泵流量 L/min
Pump_Level,%MD208,REAL,real,float,MD,液位高度 mm
Valve_Open,%Q2.0,BOOL,bool,bool,数字量输出,阀门打开
Valve_Close,%Q2.1,BOOL,bool,bool,数字量输出,阀门关闭
Valve_Position,%MW300,INT,int,int16_t,MW,阀门开度百分比 0-100
Valve_Mode,%MW302,WORD,int,uint16_t,MW,阀门控制模式
Temperature_Sensor1,%MD400,REAL,real,float,MD,温度传感器1 °C
Temperature_Sensor2,%MD404,REAL,real,float,MD,温度传感器2 °C
Temperature_Sensor3,%MD408,REAL,real,float,MD,温度传感器3 °C
Temperature_Avg,%MD412,REAL,real,float,MD,平均温度
Pressure_Sensor1,%MD500,REAL,real,float,MD,压力传感器1 Bar
Pressure_Sensor2,%MD504,REAL,real,float,MD,压力传感器2 Bar
Level_Sensor,%MD600,REAL,real,float,MD,液位传感器 mm
Conveyor_Speed,%MW700,INT,int,int16_t,MW,传送带速度 m/min
Conveyor_Running,%Q5.0,BOOL,bool,bool,数字量输出,传送带运行
Conveyor_Fault,%I5.0,BOOL,bool,bool,数字量输入,传送带故障
Conveyor_Count,%MD704,DINT,int,int32_t,MD,产品计数
Alarm_Active,%Q10.0,BOOL,bool,bool,数字量输出,报警指示
Alarm_Acknowledge,%I10.0,BOOL,bool,bool,数字量输入,报警确认
Alarm_Code,%MD800,DWORD,int,uint32_t,MD,故障代码
System_Mode,%MW900,WORD,int,uint16_t,MW,系统运行模式 0=停止 1=手动 2=自动
System_Status,%MD904,DWORD,int,uint32_t,MD,系统状态字
System_Uptime,%MD908,TIME,int,uint32_t,MD,系统运行时间
Production_Target,%MD1000,DINT,int,int32_t,MD,生产目标数量
Production_Actual,%MD1004,DINT,int,int32_t,MD,实际产量
Production_Defect,%MD1008,DINT,int,int32_t,MD,次品数量
Production_Yield,%MD1012,REAL,real,float,MD,良品率百分比
